485,Salvon Ahmed,RB,2,14.2
485,Brandon Johnson,WR,2.8,14.2
487,Armani Rogers,TE,1.6,14
488,Dee Eskridge,WR,1.5,13.8
489,Trace McSorley,QB,2.7,13.6
490,Jalen Virgil,WR,1.9,13.5
491,Trey Lance,QB,4.5,13.5
492,James Proche II,WR,1.1,13.2
493,Grant Calcaterra,TE,2.2,13.1
494,Chris Evans,RB,1.3,12.8
495,Nick Mullens,QB,3.2,12.8
496,Tyrod Taylor,QB,4.1,12.3
497,Gunner Olszewski,WR,0.8,12.2
498,Jamison Crowder,WR,3,12
499,Andrew Beck,TE,1.3,11.9
500,Kyle Rudolph,TE,2.4,11.8
501,Kyle Philips,WR,3,11.8
502,Trent Taylor,WR,0.7,11.7
502,Jordan Love,QB,2.9,11.7
504,Nick Vannett,TE,1.6,11.5
504,Kene Nwangwu,RB,0.8,11.5
506,Andre Baccellia,WR,2.3,11.5
507,Freddie Swain,WR,3.8,11.4
508,Kevin Harris,RB,2.2,11.2
508,John Brown,WR,5.6,11.2
510,Trevor Siemian,QB,5.6,11.2
511,Deven Thompkins,WR,2.2,10.8
512,Darrynton Evans,RB,3.6,10.7
513,Jake Kumerow,WR,2.1,10.4
514,Tony Jones Jr.,RB,3.5,10.4
515,Ty Montgomery,RB,10.3,10.3
516,Chris Manhertz,TE,1.3,10.2
516,Ke'Shawn Vaughn,RB,1.1,10.2
516,Snoop Conner,RB,2,10.2
516,Laquon Treadwell,WR,3.4,10.2
520,Caleb Shudak,K,10,10
520,Blake Bell,TE,5,10
520,Tristan Vizcaino,K,3.3,10
520,Ronnie Rivers,RB,5,10
524,Tyrion Davis-Price,RB,2,9.9
525,Tyler Kroft,TE,1.6,9.7
526,Cole Beasley,WR,1.9,9.5
527,Tyler Badie,RB,9.4,9.4
527,Kevin White,WR,1.6,9.4
527,Myles Gaskin,RB,4.7,9.4
530,Nathan Peterman,QB,3.1,9.3
531,David Johnson,RB,2.3,9.1
532,Michael Woods II,WR,1.1,9
532,Chris Streveler,QB,9,9
534,Charlie Kolar,TE,8.9,8.9
535,Mike Strachan,WR,1.5,8.9
536,Chris Conley,WR,2.2,8.6
537,Chase Daniel,QB,2.8,8.5
538,Cody Hollister,WR,1.4,8.4
538,Jalen Guyton,WR,4.2,8.4
538,Isaiah Spiller,RB,1.7,8.4
541,Julius Chestnut,RB,1.4,8.3
542,Luke Farrell,TE,2,8
542,Trayveon Williams,RB,0.9,8
544,Jaret Patterson,RB,3.9,7.8
544,Mike Thomas,WR,1.6,7.8
546,Tyler Mabry,TE,7.7,7.7
547,Anthony Brown,QB,3.8,7.6
548,Spencer Brown,RB,3.7,7.3
548,Tylan Wallace,WR,1.2,7.3
550,Nick Sciba,K,7,7
550,Zamir White,RB,0.6,7
552,Ryan Griffin,TE,0.7,6.6
552,Tyler Davis,TE,0.6,6.6
552,Trevon Wesco,TE,1.1,6.6
552,Stephen Sullivan,TE,0.8,6.6
556,Racey McMath,WR,1.6,6.4
557,Trestan Ebner,RB,0.6,6.2
558,Anthony McFarland Jr.,RB,6.1,6.1
559,Tim Jones,WR,0.9,6
559,Jakob Johnson,RB,0.5,6
559,Dominik Eberle,K,6,6
562,Patrick Taylor Jr.,RB,0.8,5.8
563,Nick Foles,QB,2.9,5.8
564,Stone Smartt,TE,1.9,5.7
565,Ben Ellefson,TE,2.8,5.6
566,Dwayne Washington,RB,0.8,5.5
566,Kendall Blanton,TE,2.8,5.5
